Czechia,Measles,1.00,0.00,0.00,4.00,590.00,207.00,142.00,7.00,9.00,222.00,15.00,22.00,17.00,0.00,5.00,2.00,2.00,7.00,0.00,17.00,30.00,4.00,6.00,9.00,2.00,19.00,14.00,10.00,5.00,9.00,14.00,416.00,839.00,2420.00,,,,,,,,,,
Côte d'Ivoire,Measles,1361.00,1596.00,1837.00,600.00,372.00,453.00,163.00,45.00,65.00,50.00,48.00,137.00,628.00,441.00,183.00,12.00,5.00,11.00,115.00,3466.00,4770.00,5882.00,5790.00,5729.00,4824.00,12289.00,9665.00,20858.00,30039.00,,7465.00,14765.00,9902.00,17799.00,18660.00,16864.00,34170.00,23839.00,8892.00,5946.00,7139.00,15605.00,14782.00,7633.00
Democratic People's Republic of Korea,Measles,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,8.00,3550.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Democratic Republic of the Congo,Measles,311500.00,4380.00,54471.00,82290.00,333017.00,69693.00,45107.00,5092.00,5020.00,33711.00,88381.00,72029.00,133802.00,5407.00,57.00,12461.00,55577.00,80123.00,182485.00,44934.00,21956.00,30466.00,8072.00,8282.00,12135.00,15271.00,5766.00,9546.00,5443.00,12573.00,2749.00,63.00,,4564.00,11178.00,13214.00,14866.00,19430.00,19508.00,11385.00,21057.00,30775.00,38142.00,32596.00
Denmark,Measles,9.00,0.00,0.00,4.00,15.00,8.00,4.00,3.00,9.00,27.00,17.00,2.00,84.00,5.00,6.00,14.00,2.00,27.00,2.00,0.00,0.00,32.00,11.00,14.00,,,61.00,119.00,20.00,36.00,115.00,129.00,162.00,180.00,405.00,618.00,6268.00,23490.00,13187.00,21188.00,33242.00,15656.00,35651.00,28249.00
Djibouti,Measles,446.00,206.00,0.00,,,28.00,3.00,8.00,47.00,,28.00,709.00,49.00,7.00,48.00,143.00,24.00,49.00,298.00,71.00,37.00,50.00,79.00,183.00,341.00,198.00,,410.00,8.00,,37.00,129.00,13.00,104.00,490.00,473.00,52.00,,108.00,1295.00,,31.00,4533.00,
Dominica,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,13.00,9.00,10.00,82.00,45.00,64.00,188.00,1.00,2.00,27.00,0.00
Dominican Republic,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.00,253.00,274.00,14.00,1.00,0.00,0.00,3.00,4637.00,7650.00,7512.00,3477.00,1505.00,692.00,499.00,501.00,4417.00,4429.00,2960.00,3671.00,3410.00,9760.00
Ecuador,Measles,0.00,0.00,0.00,0.00,0.00,19.00,0.00,1.00,0.00,0.00,0.00,72.00,257.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,42.00,919.00,3668.00,3627.00,4356.00,1585.00,1646.00,3649.00,8004.00,1537.00,839.00,1183.00,6979.00,2556.00,1647.00,4678.00,2722.00
Egypt,Measles,267.00,14.00,0.00,3.00,0.00,48.00,24.00,225.00,5432.00,1314.00,405.00,245.00,26.00,16.00,608.00,668.00,1684.00,953.00,77.00,80.00,164.00,653.00,2150.00,2633.00,1547.00,4868.00,4606.00,4403.00,1833.00,1444.00,2874.00,4403.00,1231.00,887.00,4057.00,3672.00,1805.00,1176.00,5554.00,4898.00,813.00,7365.00,1777.00,839.00
El Salvador,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,38.00,509.00,0.00,0.00,0.00,787.00,405.00,278.00,1413.00,4775.00,2407.00,3664.00,12554.00,2315.00
Equatorial Guinea,Measles,270.00,49.00,43.00,53.00,0.00,0.00,1.00,1699.00,1250.00,13.00,321.00,1190.00,0.00,0.00,78.00,436.00,5.00,0.00,,38.00,18.00,24.00,1339.00,,,,0.00,1.00,44.00,270.00,157.00,297.00,32.00,32.00,582.00,14875.00,11865.00,788.00,464.00,198.00,,,,
